Text,Bounding Box,Confidence
aee,"[[34, 2], [58, 2], [58, 8], [34, 8]]",0.028284220373922187
Aetan,"[[66, 2], [98, 2], [98, 8], [66, 8]]",0.012240987308956543
1na1e,"[[106, 2], [134, 2], [134, 8], [106, 8]]",0.005405198881376552
ouou,"[[162, 2], [196, 2], [196, 8], [162, 8]]",0.011688453145325184
rn,"[[206, 2], [232, 2], [232, 8], [206, 8]]",0.02495929234467366
Echun,"[[240, 2], [264, 2], [264, 10], [240, 10]]",0.2465668945277913
pat,"[[274, 2], [296, 2], [296, 10], [274, 10]]",0.8932002873548123
Hauta,"[[270, 20], [294, 20], [294, 28], [270, 28]]",0.7313510983111221
Vidrr,"[[311, 19], [337, 19], [337, 31], [311, 31]]",0.12677854302435754
Alarm Yenctimi,"[[349, 19], [413, 19], [413, 31], [349, 31]]",0.6333412534821032
aselsan | MİRSAD,"[[50, 38], [204, 38], [204, 64], [50, 64]]",0.9320755459795739
Aea ),"[[14, 92], [66, 92], [66, 100], [14, 100]]",0.010262649340715998
A7l,"[[46, 114], [72, 114], [72, 120], [46, 120]]",0.048660225833840824
Seice,"[[62, 128], [84, 128], [84, 136], [62, 136]]",0.20070082698334218
serre Ka Pio,"[[78, 142], [132, 142], [132, 150], [78, 150]]",0.03032983640680221
Seda,"[[45, 157], [69, 157], [69, 169], [45, 169]]",0.8797957897186279
5609-|,"[[62, 172], [90, 172], [90, 180], [62, 180]]",0.15053300847677145
50da ,"[[62, 186], [90, 186], [90, 194], [62, 194]]",0.1483239778440871
Soda,"[[61, 199], [85, 199], [85, 211], [61, 211]]",0.26842013001441956
Fiig Einos,"[[46, 228], [92, 228], [92, 236], [46, 236]]",0.2753541626589263
Fllr_Eklnoks_Kamere,"[[61, 241], [143, 241], [143, 253], [61, 253]]",0.5709775795197911
KaRAYOL,"[[45, 255], [87, 255], [87, 267], [45, 267]]",0.14772686632897752
Khinci,"[[62, 272], [92, 272], [92, 278], [62, 278]]",0.17666637168612567
Yamooz,"[[61, 297], [95, 297], [95, 309], [61, 309]]",0.651751866923446
PIR kapi,"[[60, 310], [95, 310], [95, 323], [60, 323]]",0.5847921108792151
Adas,"[[62, 326], [86, 326], [86, 334], [62, 334]]",0.215215802192688
Cevrirndisi (49/,"[[25, 339], [95, 339], [95, 353], [25, 353]]",0.2497646207561852
Mayinlar 14,"[[48, 356], [102, 356], [102, 364], [48, 364]]",0.28484911768280397
Aenr,"[[62, 370], [86, 370], [86, 376], [62, 376]]",0.008467929437756538
Flt_Ekinoks_Karner,"[[23, 431], [109, 431], [109, 443], [23, 443]]",0.5433527372128971
V 232 36,"[[158, 432], [202, 432], [202, 440], [158, 440]]",0.07357853203904285
Yemgoz 012,"[[21, 463], [75, 463], [75, 475], [21, 475]]",0.8600696787741774
23-32838,"[[165, 463], [205, 463], [205, 475], [165, 475]]",0.4271723863541045
ue,"[[22, 476], [46, 476], [46, 482], [22, 482]]",0.022275076640424225
ecek (eula,"[[60, 474], [108, 474], [108, 482], [60, 482]]",0.032973815134067164
